"team_id","team_name","Win_m2_T1","Win_m1_T1","Win_0_T1","Win_p1_T1","Win_p2_T1","Win_m2_T2","Win_m1_T2","Win_0_T2","Win_p1_T2","Win_p2_T2","Win_m2_T3","Win_m1_T3","Win_0_T3","Win_p1_T3","Win_p2_T3","Win_m2_T4","Win_m1_T4","Win_0_T4","Win_p1_T4","Win_p2_T4","Draw_m2_T1","Draw_m1_T1","Draw_0_T1","Draw_p1_T1","Draw_p2_T1","Draw_m2_T2","Draw_m1_T2","Draw_0_T2","Draw_p1_T2","Draw_p2_T2","Draw_m2_T3","Draw_m1_T3","Draw_0_T3","Draw_p1_T3","Draw_p2_T3","Draw_m2_T4","Draw_m1_T4","Draw_0_T4","Draw_p1_T4","Draw_p2_T4","Loss_m2_T1","Loss_m1_T1","Loss_0_T1","Loss_p1_T1","Loss_p2_T1","Loss_m2_T2","Loss_m1_T2","Loss_0_T2","Loss_p1_T2","Loss_p2_T2","Loss_m2_T3","Loss_m1_T3","Loss_0_T3","Loss_p1_T3","Loss_p2_T3","Loss_m2_T4","Loss_m1_T4","Loss_0_T4","Loss_p1_T4","Loss_p2_T4","n_from_state_m2_T1","n_from_state_m1_T1","n_from_state_0_T1","n_from_state_p1_T1","n_from_state_p2_T1","n_from_state_m2_T2","n_from_state_m1_T2","n_from_state_0_T2","n_from_state_p1_T2","n_from_state_p2_T2","n_from_state_m2_T3","n_from_state_m1_T3","n_from_state_0_T3","n_from_state_p1_T3","n_from_state_p2_T3","n_from_state_m2_T4","n_from_state_m1_T4","n_from_state_0_T4","n_from_state_p1_T4","n_from_state_p2_T4","total_points","open_game_win","avoid_loss_m1_T1","avoid_loss_m1_T2","avoid_loss_m1_T3","avoid_loss_m1_T4","avoid_loss_m2_T1","avoid_loss_m2_T2","avoid_loss_m2_T3","avoid_loss_m2_T4","resilience","game_management","clutch_late","rank_points","group","delta_open","delta_resilience_m1","delta_resilience_m2","delta_resilience","delta_lead_p1","delta_lead_p2","delta_lead","open_game_no_T1","resilience_no_T1","game_management_no_T1","cluster"
42,"Arsenal",0.12416457850672,0.36610566067863,0.625010249311422,0.829712513262018,0.932603384669396,0.0723200608984539,0.29107089145906,0.555901458517481,0.831737113586839,0.954651428542406,0.0206705592383109,0.114707291454145,0.405149659611383,0.825390302771648,0.960131000275565,0.0110531661707824,0.0913728403451348,0.212188281166756,0.829409202163272,0.984736612825135,0.121454916266572,0.245296300897633,0.232332958738953,0.123919322602845,0.0513238001674466,0.094917476702773,0.261989340215537,0.284580293605407,0.123318586146298,0.0357676167884326,0.0554699533733704,0.275124352650346,0.462952533994629,0.139133342189576,0.0318645578397865,0.0330052989018615,0.272843804255388,0.633604664507206,0.137199184332311,0.012275716492891,0.754380505226708,0.388598038423737,0.142656791949625,0.0463681641351368,0.016072815163157,0.832762462398773,0.446939768325403,0.159518247877112,0.0449443002668625,0.0095809546691613,0.923859487388319,0.610168355895509,0.131897806393988,0.0354763550387757,0.0080044418846484,0.955941534927356,0.635783355399477,0.154207054326039,0.0333916135044177,0.00298767068197421,NA,2,32,10,NA,NA,6,26,21,12,NA,3,11,16,14,NA,6,13,15,20,70,0.44956241215176,0.611401961576263,0.553060231674597,0.389831644104491,0.364216644600523,0.245619494773292,0.167237537601227,0.0761405126116813,0.0440584650726439,0.30644581150184,0.893546444762035,0.486921841165666,1,"Top 5",-0.412821968144667,-0.24718531697574,-0.201561029700648,-0.224373173338194,-0.000303311098745929,0.0521332281557386,0.0259149585284963,0.391079799765206,0.265757505944194,0.897675943360811,1
50,"Manchester City",0.0441903493640024,0.143540528485351,0.576192375183521,0.737905408757479,0.910229554691712,0.0229010252665705,0.116670241234924,0.488019831890107,0.73542095705285,0.930636361447081,0.00849671799432339,0.0847679351380696,0.247828116314094,0.690298091230805,0.974482361005468,0.0031616846707971,0.0484791649522223,0.207165624143658,0.764430625996031,0.978922740220697,0.0637678327203858,0.162003954093521,0.243124073702628,0.172897614583092,0.063650521114079,0.0427172352832855,0.164540589928633,0.306302497123073,0.180426690967656,0.0507133653085379,0.0240034067082473,0.216718147915229,0.48570967327993,0.229475602713181,0.0215793405771646,0.0105233600435102,0.161358187333823,0.689530639041429,0.204875451849704,0.0183309614812893,0.892041817915612,0.694455517421128,0.180683551113851,0.0891969766594285,0.0261199241942093,0.934381739450144,0.718789168836444,0.20567767098682,0.0841523519794944,0.0186502732443807,0.967499875297429,0.698513916946701,0.266462210405976,0.0802263060560146,0.00393829841736706,0.986314955285692,0.790162647713955,0.103303736814913,0.0306939221542651,0.00274629829801319,NA,1,32,14,2,1,2,22,24,17,1,5,13,12,18,2,5,11,10,16,61,0.379801486882845,0.305544482578872,0.281210831163557,0.301486083053299,0.209837352286045,0.107958182084388,0.065618260549856,0.0325001247025706,0.0136850447143073,0.164730045141612,0.840290762550265,0.434808277472148,2,"Top 5",-0.369026751039863,-0.0957071302928267,-0.0942731373700809,-0.0949901338314538,0.0265252172385515,0.0686931855289857,0.0476092013837686,0.314337857449286,0.150722949411606,0.845698522825489,2
33,"Manchester United",0.118898727412346,0.238334493640073,0.466031467032753,0.643490521311623,0.847310188494268,0.0449623006999429,0.248250741173041,0.456737339724606,0.642260109879669,0.890985831461977,0.0137342571332923,0.128246311950568,0.396855565481278,0.644911471737822,0.90964026058065,0.00572434656317203,0.0877733139686378,0.215431439529182,0.716142798947848,0.917818381059776,0.149574730444169,0.276545774650841,0.305825549237775,0.268140630020522,0.123496296591622,0.0709736078400383,0.293539951458646,0.346292524914264,0.271042080296364,0.0925010822854291,0.0367841996335655,0.300526790370304,0.484491687733263,0.300159143978774,0.0791105074346091,0.018335883701203,0.281150216751779,0.690057070653833,0.249662908394518,0.0722817738113912,0.731526542143486,0.485119731709086,0.228142983729473,0.088368848667855,0.0291935149141106,0.884064091460018,0.458209307368313,0.196970135361129,0.0866978098239674,0.016513086252594,0.949481543233142,0.571226897679128,0.118652746785459,0.0549293842834041,0.011249231984741,0.975939769735625,0.631076469279583,0.0945114898169842,0.0341942926576345,0.00989984512883261,1,8,31,10,NA,1,14,26,21,4,2,8,14,18,7,2,9,17,20,10,55,0.383763952941955,0.514880268290914,0.541790692631687,0.428773102320871,0.368923530720417,0.268473457856514,0.115935908539981,0.0505184567668578,0.024060230264375,0.289169455923952,0.776569945434204,0.44847527610432,3,"Top 5",-0.25060002750357,-0.145956737570497,-0.244413227592139,-0.195184982581318,0.0726522776362246,0.0705081925655084,0.0715802351008665,0.356341448245022,0.255000320207365,0.786959808944624,2
66,"Aston Villa",0.084209474395064,0.245286999892448,0.485393300325637,0.790754704013086,0.933992419362785,0.0596383264378359,0.233917183784617,0.471199460866464,0.795091725362884,0.964686215509148,0.00803448037948056,0.154030594691314,0.46267014594271,0.910566486992365,0.980021887490459,0.00279259861562484,0.0822885725404119,0.396737076386718,0.966710973095433,0.991862682312217,0.0629457400853087,0.165519446048018,0.211996346169341,0.119800996317658,0.0422065994520373,0.0472989035825225,0.174571553002451,0.272147381364155,0.119671969024411,0.0255792286951185,0.00961356235357193,0.166984239293749,0.413567880276443,0.0726543345974397,0.0170708426015123,0.0039632853889645,0.116784809461487,0.563053440371399,0.0310702023803603,0.00759493835964364,0.852844785519628,0.589193554059534,0.302610353505022,0.0894442996692554,0.0238009811851783,0.893062769979642,0.591511263212932,0.256653157769381,0.0852363056127045,0.00973455579573318,0.982351957266948,0.678985166014937,0.123761973780847,0.0167791784101955,0.00290726990802833,0.993244115995411,0.800926617998101,0.0402094832418829,0.00221882452420669,0.000542379328139413,1,8,32,7,NA,4,15,26,13,3,6,9,15,10,6,9,6,11,13,9,54,0.453999995880382,0.410806445940466,0.408488736787068,0.321014833985063,0.199073382001899,0.147155214480373,0.106937230020358,0.0176480427330525,0.00675588400458934,0.202234971244109,0.916710886767297,0.512227999560171,4,"Top 5",-0.0886562239389191,-0.211733063938567,-0.140399330475783,-0.176066197207175,0.175956269082347,0.0578702629494324,0.11691326601589,0.443535561065298,0.176653018255338,0.934823328460418,1
40,"Liverpool",0.0966906266019757,0.197921733211037,0.436405472729391,0.76117063904688,0.836841823919148,0.0749982466143198,0.168777924123999,0.461765965867119,0.742212580885734,0.845802885285601,0.0279421318355268,0.132239726166208,0.318363971311295,0.687417357068042,0.897728176058901,0.0234722349356405,0.0976859189233272,0.265173899689417,0.730217485898016,0.962938967759727,0.105456678377609,0.17764022836537,0.230733213561447,0.141377130456404,0.100111679505775,0.0899887748088033,0.172858210208073,0.271743934859913,0.157405079677087,0.0952249813668846,0.04840712548612,0.20681667106292,0.402960699117808,0.194168380274739,0.0640568165103889,0.0416181449614001,0.17320492682465,0.470174477526921,0.172618872084412,0.0237132995994747,0.797852695020415,0.624438038423594,0.332861313709162,0.0974522304967159,0.0630464965750771,0.835012978576877,0.658363865667928,0.266490099272968,0.100382339437179,0.0589721333475146,0.923650742678353,0.660943602770873,0.278675329570897,0.118414262657218,0.0382150074307105,0.93490962010296,0.729109154252023,0.264651622783662,0.0971636420175724,0.0133477326407978,NA,8,32,4,2,5,12,22,14,10,4,6,13,12,9,4,13,21,16,9,49,0.370427327399305,0.375561961576406,0.341636134332072,0.339056397229127,0.270890845747978,0.202147304979585,0.164987021423123,0.0763492573216468,0.0650903798970405,0.229464912813372,0.808041239490256,0.458862315798436,5,"Top 5",-0.171231573039974,-0.104671115828429,-0.137056925082544,-0.120864020455486,-0.0309531531488644,0.126097143840579,0.0475719953458575,0.348434612289277,0.209668339325165,0.811052908826004,2
49,"Chelsea",0.0843811953075494,0.174511688209518,0.415372570767664,0.66698468502052,0.889557619253757,0.0706324760513169,0.123144036937287,0.395099757903718,0.715389528869111,0.937251819446593,0.00752370257691342,0.0675556824422759,0.147400106750778,0.564896252644172,0.94714253344961,0.00495090343982646,0.0244632875850249,0.141490044764116,0.698015054067894,0.993073739772199,0.167320411019243,0.250805783715772,0.279035323415784,0.205621248660124,0.0726576204157977,0.15458535416723,0.256279071092748,0.339448445948646,0.193610690836535,0.0441654143634421,0.0323691100308404,0.274078806198859,0.586447304614257,0.307376177810445,0.0375030812339598,0.0220101230522111,0.108755902140337,0.629019194935098,0.221260483252685,0.00507478172597901,0.748298393673208,0.57468252807471,0.305592105816552,0.127394066319356,0.0377847603304454,0.774782169781453,0.620576891969966,0.265451796147636,0.0909997802943541,0.0185827661899646,0.960107187392246,0.658365511358865,0.266152588634965,0.127727569545383,0.0153543853164297,0.973038973507962,0.866780810274638,0.229490760300786,0.0807244626794212,0.00185147850182159,1,9,35,10,NA,4,13,19,17,12,3,9,13,9,12,5,8,16,8,12,48,0.274840620046569,0.42531747192529,0.379423108030034,0.341634488641135,0.133219189725362,0.251701606326793,0.225217830218547,0.0398928126077539,0.0269610264920375,0.227920941745869,0.801538904065482,0.398551810964322,6,"Middle",-0.273882526003548,-0.292098282199928,-0.224740579834755,-0.258419431017342,0.0310303690473739,0.103516120518443,0.0672732447829083,0.227996636472871,0.191058075952478,0.80929482137493,2
55,"Brentford",0.0318526345829134,0.126687044529637,0.416743612929879,0.71839141516148,0.814355820166456,0.0115309753086155,0.122490930806078,0.406856469849703,0.706366534307923,0.856645218982208,0.00442173192875294,0.101862239978556,0.32566039219608,0.699058492693578,0.962959394842209,0.00141155605078418,0.0515688477219821,0.276213672114333,0.756370157167002,0.972434560211907,0.0369296274214263,0.137406679056994,0.232742194747608,0.186845332609678,0.125222212449093,0.0153988306423762,0.137832742094448,0.353211227420077,0.198262180555638,0.0980662611918867,0.00755444686843688,0.163249182211356,0.452416489181156,0.214582847849354,0.0271829778122119,0.00274465527317508,0.100271405979996,0.537074890699871,0.180781905058904,0.020454525031623,0.931217737995661,0.735906276413369,0.350514192322513,0.0947632522288418,0.0604219673844501,0.973070194049009,0.739676327099474,0.23993230273022,0.0953712851364399,0.0452885198259047,0.98802382120281,0.734888577810088,0.221923118622763,0.086358659457069,0.00985762734557923,0.995843788676041,0.848159746298022,0.186711437185796,0.0628479377740942,0.00711091475646989,NA,10,31,11,2,6,11,15,16,10,5,5,13,11,7,9,7,16,15,12,46,0.356368536772499,0.264093723586631,0.260323672900527,0.265111422189912,0.151840253701978,0.0687822620043397,0.0269298059509917,0.0119761787971898,0.00415621132395926,0.131651691306941,0.810822699191595,0.432202970903836,7,"Middle",-0.140529940815546,-0.112253469884652,-0.0646260506803805,-0.0884397602825164,0.0379787420055218,0.158078740045451,0.0980287410254862,0.336243511386705,0.120056257477426,0.825639059700804,2
45,"Everton",0.0300784542946875,0.0883639850601182,0.415978154675965,0.706898379775754,0.915782080713435,0.0231762203882549,0.0933776744705254,0.417726597633534,0.736376904104278,0.960542873771509,0.00593556916510904,0.100055794164755,0.249959859310608,0.714102470436471,0.977355321496551,0.00302796496031449,0.0892240341639336,0.276981610448219,0.894360060127053,0.985487846643716,0.0526486687170171,0.141180585973893,0.23616223322279,0.175153268353687,0.0542296274516506,0.0421646258839661,0.162460404606678,0.32193871702098,0.171366597109823,0.0283174186869285,0.0126213978741237,0.209932928880714,0.494324877921534,0.199082629231084,0.0175887303052114,0.00652596156156312,0.19229833401406,0.596959134843221,0.0872214704670768,0.0119819393772954,0.917272876988296,0.770455428965989,0.347859612101244,0.117948351870558,0.0299882918349146,0.934659153727779,0.744161920922797,0.260334685345486,0.0922564987858985,0.0111397075415624,0.981443032960768,0.690011276954531,0.255715262767857,0.0868149003324446,0.00505594819823716,0.990446073478123,0.718477631822007,0.126059254708561,0.0184184694058699,0.00253021397898819,2,8,32,9,NA,8,9,17,15,4,7,9,12,9,5,9,9,13,10,9,46,0.340161555517082,0.229544571034011,0.255838079077203,0.309988723045469,0.281522368177993,0.0827271230117046,0.065340846272221,0.0185569670392327,0.00955392652187761,0.156634075522464,0.861363242133596,0.489581162383772,8,"Middle",-0.138996544227746,0.0519777971439825,-0.073173196489827,-0.0105976996729222,0.187461680351299,0.0697057659302814,0.12858372314079,0.314889355797454,0.156800151688999,0.87803757942993,1
36,"Fulham",0.0520882309568392,0.166636953877311,0.408022236919831,0.719930161466702,0.876264899269466,0.0346146969520215,0.176499959422911,0.380203674830916,0.746165905030262,0.900112571137684,0.0255240582761228,0.169244476016357,0.35127420138871,0.798088927258526,0.945696069790059,0.0210841826708753,0.0862534745626717,0.291479316286929,0.908468367042606,0.974942697765057,0.05295540865036,0.138421699808521,0.179876718209385,0.113677285752595,0.0567602391788058,0.0399181777957252,0.150485786553632,0.222342399605436,0.112356376459096,0.0480779778370413,0.0328340722094775,0.18256559926116,0.333737464346042,0.106030058358387,0.0290451895925675,0.0282084987193225,0.115398403851774,0.389969772532212,0.0503790092574801,0.0137915387333826,0.894956360392801,0.694941346314168,0.412101044870784,0.166392552780703,0.0669748615517283,0.925467125252253,0.673014254023458,0.397453925563649,0.141477718510642,0.0518094510252745,0.9416418695144,0.648189924722483,0.314988334265248,0.0958810143830868,0.0252587406173731,0.950707318609802,0.798348121585554,0.318550911180859,0.041152623699914,0.0112657635015602,1,7,32,7,1,11,14,23,11,4,6,8,15,9,6,7,14,17,12,6,44,0.357744857356596,0.305058653685832,0.326985745976542,0.351810075277517,0.201651878414446,0.105043639607199,0.0745328747477468,0.0583581304856003,0.0492926813901979,0.184091709948135,0.858708699845045,0.485166988179847,9,"Middle",-0.116542920632902,-0.103406775271386,-0.0557509582170014,-0.0795788667441937,0.188538205575904,0.0986777984955912,0.143608002035748,0.340985730835518,0.177105231048675,0.878912423004033,1
51,"Brighton",0.0567169034746969,0.132355763588051,0.357407603459416,0.652735718347508,0.842641232387757,0.0405085763075495,0.129153643604175,0.327990975307156,0.703205701032417,0.87160987012271,0.0338601962603026,0.0972980711204127,0.219198973792252,0.701475358861477,0.977990182293587,0.0188566353806893,0.0606217451494888,0.190269678525816,0.736538535999679,0.989840817583535,0.149821582663682,0.268498523433739,0.309488917795879,0.228584120836301,0.11544531933039,0.124390809641527,0.270647632847926,0.388225363889427,0.224390589774708,0.0981868580837256,0.113421547901047,0.299851509363766,0.561804466001578,0.244506385033718,0.0184644115021449,0.0693293824122449,0.222885369903829,0.699556365049098,0.227614230563866,0.00877689835079175,0.793461513861621,0.599145712978209,0.333103478744705,0.118680160816191,0.0419134482818529,0.835100614050924,0.600198723547899,0.283783660803417,0.0724037091928747,0.0302032717935641,0.852718255838651,0.602850419515822,0.218996560206169,0.0540182561048046,0.00354540620426751,0.911813982207066,0.716492884946683,0.110173956425086,0.0358472334364548,0.00138228406567306,NA,10,33,9,1,4,15,18,13,4,6,12,12,10,4,5,13,16,12,5,43,0.27371680777116,0.400854287021791,0.399801276452101,0.397149580484178,0.283507115053317,0.206538486138379,0.164899385949076,0.147281744161349,0.0881860177929342,0.261027236631641,0.809504677078584,0.457668432991056,10,"Middle",-0.167137924933599,-0.117347171968473,-0.118352468345445,-0.117849820156959,0.083802817652171,0.147199585195778,0.115501201423974,0.245819875875075,0.246804186648826,0.830110077648901,2
