"team_id","team_name","state_from","Win","Draw","Loss","n_from_state"
33,"Manchester United","(-2,T1)",0.27307242157988,0.318201800993443,0.408725777426677,1
33,"Manchester United","(-1,T1)",0.27307242157988,0.318201800993443,0.408725777426677,8
33,"Manchester United","(0,T1)",0.483870967741935,0.32258064516129,0.193548387096774,31
33,"Manchester United","(+1,T1)",0.642735761701551,0.28239855544509,0.0748656828533596,10
33,"Manchester United","(+2,T1)",0,0,0,NA
33,"Manchester United","(-2,T2)",0,0,1,1
33,"Manchester United","(-1,T2)",0.27307242157988,0.318201800993443,0.408725777426677,14
33,"Manchester United","(0,T2)",0.475795387994667,0.353471559899643,0.17073305210569,26
33,"Manchester United","(+1,T2)",0.642735761701551,0.28239855544509,0.0748656828533596,21
33,"Manchester United","(+2,T2)",0.902439024390244,0.0878048780487805,0.00975609756097561,4
33,"Manchester United","(-2,T3)",0,0,1,2
33,"Manchester United","(-1,T3)",0.138320224878617,0.333427979215764,0.528251795905619,8
33,"Manchester United","(0,T3)",0.423634969760641,0.482057980067577,0.0943070501717823,14
33,"Manchester United","(+1,T3)",0.639356597291235,0.314392799341265,0.0462506033675005,18
33,"Manchester United","(+2,T3)",0.902439024390244,0.0878048780487805,0.00975609756097561,7
33,"Manchester United","(-2,T4)",0,0,1,2
33,"Manchester United","(-1,T4)",0.0975609756097561,0.31219512195122,0.590243902439024,9
33,"Manchester United","(0,T4)",0.219512195121951,0.702439024390244,0.0780487804878049,17
33,"Manchester United","(+1,T4)",0.707317073170732,0.263414634146342,0.0292682926829268,20
33,"Manchester United","(+2,T4)",0.902439024390244,0.0878048780487805,0.00975609756097561,10
34,"Newcastle","(-2,T1)",0,0,0,NA
34,"Newcastle","(-1,T1)",0.172108714046507,0.147004619982822,0.680886665970671,5
34,"Newcastle","(0,T1)",0.387096774193548,0.193548387096774,0.419354838709677,32
34,"Newcastle","(+1,T1)",0.596400842845113,0.158742539048752,0.244856618106134,11
34,"Newcastle","(+2,T1)",0.747476216375527,0.101089032815437,0.151434750809036,3
34,"Newcastle","(-2,T2)",0.118361699009747,0.135368678204333,0.74626962278592,1
34,"Newcastle","(-1,T2)",0.118361699009747,0.135368678204333,0.74626962278592,14
34,"Newcastle","(0,T2)",0.327208516206463,0.227711758629126,0.44507972516441,27
34,"Newcastle","(+1,T2)",0.539747577771208,0.180362603886245,0.279889818342547,15
34,"Newcastle","(+2,T2)",0.823013903140734,0.0722622796987798,0.104723817160486,5
34,"Newcastle","(-2,T3)",0,0,1,1
34,"Newcastle","(-1,T3)",0.0557076538507321,0.107665754076896,0.836626592072372,10
34,"Newcastle","(0,T3)",0.377574098321628,0.320643646319161,0.30178225535921,15
34,"Newcastle","(+1,T3)",0.711820021426021,0.148456352598717,0.139723625975263,12
34,"Newcastle","(+2,T3)",0.964647065825497,0.018212117605047,0.017140816569456,3
34,"Newcastle","(-2,T4)",0,0,1,5
34,"Newcastle","(-1,T4)",0.0618973931674801,0.119628615640995,0.818473991191525,17
34,"Newcastle","(0,T4)",0.210451136769432,0.406737293179383,0.382811570051184,18
34,"Newcastle","(+1,T4)",0.823235329127485,0.0910605880252351,0.0857040828472801,14
34,"Newcastle","(+2,T4)",0.964647065825497,0.018212117605047,0.017140816569456,5
35,"Bournemouth","(-2,T1)",0,0,0,NA
35,"Bournemouth","(-1,T1)",0.174085374282381,0.436602304364789,0.38931232135283,9
35,"Bournemouth","(0,T1)",0.290322580645161,0.483870967741935,0.225806451612903,36
35,"Bournemouth","(+1,T1)",0.484834326307569,0.408726623353578,0.106439050338853,11
35,"Bournemouth","(+2,T1)",0.484834326307569,0.408726623353578,0.106439050338853,1
35,"Bournemouth","(-2,T2)",0.0470966388060007,0.240751854107699,0.7121515070863,6
35,"Bournemouth","(-1,T2)",0.115966771100991,0.412967972676216,0.471065256222793,12
35,"Bournemouth","(0,T2)",0.237441251271099,0.553098109758282,0.209460638970619,23
35,"Bournemouth","(+1,T2)",0.533462262723171,0.389940537256488,0.0765972000203401,13
35,"Bournemouth","(+2,T2)",0.706538395860422,0.255813183993955,0.0376484201456227,3
35,"Bournemouth","(-2,T3)",0.0470966388060007,0.240751854107699,0.7121515070863,7
35,"Bournemouth","(-1,T3)",0.110948576342149,0.523140518075311,0.36591090558254,10
35,"Bournemouth","(0,T3)",0.202423007825896,0.667975887642865,0.12960110453124,17
35,"Bournemouth","(+1,T3)",0.586152924858095,0.377499014725377,0.036348060416528,11
35,"Bournemouth","(+2,T3)",0.793076462429047,0.188749507362689,0.018174030208264,2
35,"Bournemouth","(-2,T4)",0.0151706700379267,0.0995575221238938,0.885271807838179,8
35,"Bournemouth","(-1,T4)",0.0758533501896334,0.497787610619469,0.426359039190898,10
35,"Bournemouth","(0,T4)",0.123893805309735,0.813053097345133,0.0630530973451327,22
35,"Bournemouth","(+1,T4)",0.624525916561315,0.348451327433628,0.0270227560050569,14
35,"Bournemouth","(+2,T4)",1,0,0,3
36,"Fulham","(-2,T1)",0.0268061740671884,0.0294003199446582,0.943793505988153,1
36,"Fulham","(-1,T1)",0.168181462364527,0.123954652889664,0.707863884745809,7
36,"Fulham","(0,T1)",0.419354838709677,0.161290322580645,0.419354838709677,32
36,"Fulham","(+1,T1)",0.733118023227959,0.098649945907594,0.168232030864447,7
36,"Fulham","(+2,T1)",0.90082207739945,0.0437796393007077,0.0553982832998423,1
36,"Fulham","(-2,T2)",0.0268061740671884,0.0294003199446582,0.943793505988153,11
36,"Fulham","(-1,T2)",0.191744010414083,0.139713708380499,0.668542281205418,14
36,"Fulham","(0,T2)",0.39501435775346,0.200169896166658,0.404815746079882,23
